"","Month","Day","Year","location","route","operator","aboard","fatalities","summary","deathRate"
"290","December","25","2012","Myanmar","Mandalay - Heho","Air Bagan",71,2,"The passenger plane crash in a field two miles from Heho Airport and caught fire, after attempting to land in foggy weather. A tour guide and an 11-year-old child on board the plane, and a man riding a motorcycle on the ground were killed. Eleven others were injured.",2.82
"291","December","25","2012","Kazakhstan","Astana - Shymkent","Military - Kazakhstan Border Guards",27,27,"The military transport crashed 12 miles from the Shymket Airport while making a descent to land, in heavy winds and snow.The fatalities included a crew of seven and 20 border guards, including the acting head of the ex-Soviet nation's border protection service, Col. Turganbek Stambekov",100
"292","December","29","2012","Russia","Pardubice, Czech Republic - Moscow, Russia","Red Wings Airlines",8,5,"While attempting to land on a snow covered runway and heavy cross winds the plane overran the runway, penetrated the perimeter fence and collided with a highway embankment. The aircraft broke in three. The plane's impact with the highway embankment sent the severed nose sliding over the icy road while the rest of the jet rested just past the airport's fence - its tail linked to the rest of the body by only a tangle of wreckage. There were no passengers on board.",62.5
"293","January","02","2013","Iowa","Mercy Hospital - Palo Alto Couonty Hospital","Med-Trans Corporaion",3,3,"The air ambulance crashed and burned north of Ventura near Clear Lake Iowa in ice, haze and misty conditons.",100
"294","January","04","2013","Venezuela","Los Roques - Caracas","Transaereo 5074",6,6,"The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard.",100
"295","January","29","2013","Kazakhstan","Kokshetau - Almaty, Kazakhstan","SCAT Air",21,21,"The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.",100
"296","February","13","2013","Ukraine","Odessa - Donetsk","South Airlines",45,5,"While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error.  A loss of speed by the aircraft during thelanding approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions.",11.11
"297","March","04","2013","Congo","Lodja - Goma","Compagnie Africaine d' Aviation (CAA)",10,7,"The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.",70
"298","March","06","2013","Peru","Callao - La Libertad","Aero Transporte S.A. - ATSA",9,9,"The plane, chartered by a Peruvian gold mining company, crashed while atempting to land at an airport in the La Libertad region of Peru in poor weather. The plane struck power lines, crashed and burned. Two employees of Marsa, 5 contractors and both pilots were killed.",100
"299","March","08","2013","Alaska","King Salmon - Dillingham","Ace Air Cargo",2,2,"The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections. The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists. Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts.",100
"300","March","12","2013","Brazil","Belem - Santo Antonio do Jari hydroelectic plant","Fretzx Taxi Aereo",10,10,"The plane crashed while enroute. It belonged to air charter company Fretax and was transporting nine employees of the engineering company Cesbe to the Santo Antonio do Jari hydroelectric power plant.",100
"301","April","13","2013","Indonesia","Bandung - Denpasar","Lion Air",108,0,"The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured.",0
"302","April","29","2013","Afghanistan","Bagram - Dubai Al Maktoum","National Air Cargo",7,7,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000
pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable.",100
"303","May","31","2013","Ontario","Moosonee- Attawapiskat","Ornge Air Ambulance",4,4,"The air ambulance helicopter crashed 0.7 miles from its departure point. The pilot, copilot and two paramedics were killed. The helicopter was headed to Attawapiskat to pick up a patient.",100
"304","June","25","2013","India.","From Gauchar airstrip","Indian Air Force",20,20,"Crashed during flood relief operations. The passengers were from paramilitary forces.",100
"305","July","06","2013","California","Shanghai - Seoul - San Francisco","Asiana Airlines",307,3,"The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision ""to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured. One passenger was run over by one of the emergency vehicles. The crew's failure to monitor and maintain the plane's airspeed, and its failure to abort the landing when in trouble. The pilot and co-pilot reasonably believed the automatic throttle would keep the plane flying fast enough to land safely, when in fact the auto throttle was effectively shut off after the pilot idled it to correct an unexplained climb earlier in the landing. The flight crew over-relied on automated systems that they did not fully understand.",0.98
"306","July","07","2013","Alaksa","Soldotna - Bear Lodge","Rediske Air",10,10,"As soon as the plane took off speed began to decline until the plane stalled and crashed.  The probable cause of the crash was the operator’s failure to account for about 420 additional pounds of unspecified cargo, which led to loading and operating the de Havilland DHC3 Otter outside its weight and center-of-gravity limits leading to an aerodynamic stall.",100
"307","August","09","2013","Somalia","?","Military - Ethiopian Air Force",6,4,"The cargo plane crashed on the runway and caught fire while attempting to land at Mofadisu International Airport.",66.67
"308","August","14","2013","Alabama","Louisville - Birmingham","United Parcel Service",2,2,"The cargo plane was on approach when it struck trees, crashed and burst into flames.",100
"309","October","03","2013","Nigeria","-Lagos - Akure","Associated Aviation",20,16,"The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire.",80
"310","October","10","2013","Malaysia","Kota - Kudat","MASwings",16,2,"While attempting to land, the Twin Otter struck a house located to the right of runway 22. The nose section was destroyed and the right wing broke off. The co-pilot and one passenger were killed.",12.5
"311","October","14","2013","Mexico","Loreto - Ciudad Constitución","Aereo Servicio Guerrero",14,14,"The plane crashed in the Sierra de La Giganta mountains while on a flight from Loreto to Ciudad Constitucion. The wreckage was found the day after contact was lost with the aircraft.",100
"312","October","16","2013","Laos","Vientiane - Pakse","Lao Airlines",49,49,"The aircraft crashed into the Mekong River 5 miles from Paskse, while on approach to land and after attempting a go-around. The fuselage broke in two and sank into the river. The weather was poor at the time of the accident, with the tail end of Hurricane Nari affecting the area.  A sudden change in weather conditions and the flight crew's failure to properly execute procedure have been identified as the probable causes of the crash. The flight crew's minima of 600 feet was lower than the published minima of 990 feet and the incorrect height of 645 feet as published in the JEPPESEN Chart at that time.After aborting the aircraft's approach at an altitude of around 595 feet, the flight crew executed a right turn instead of a nominal climb as dictated by the airport's VOR/DME missed approach procedure.",100
"313","October","19","2013","Belgium","Parachuting","Aeroparaclub Namur",11,11,"Ten members of a parachuting club and he pilot were killed when the plane they were on lost altitude and crashed shortly after taking off.",100
"314","November","03","2013","Bolivia","Trinidad, Bolivia - Riberalta, Bolivia","Aerocon",18,8,"While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted.",44.44
"315","November","09","2013","Borneo","Tarakan - Malinau","Military - Indonesian Army",21,13,"After losing power, the helicopter crashed into dense jungle and burst into flames. It was carrying construction materials, 8 military personnel and 13 civilian construction workers. Two military personnel and 6 passengers survived.",61.9
"316","November","10","2013","Canada","Sioux Lookout - Red Lake","Bearskin Airlines",7,5,"The aircraft was on approach to runway 26, in light snow, when it crashed and burned in the surrounding forest. Three of the five passengers and the two pilots were killed.",71.43
"317","November","17","2013","Russia","Moscow - Kastan","Tararstan Airlilnes",50,50,"The airliner went into a nearly vertical dive and crashed onto the runway and disintegrated, after attempting to land a second time. The aircraft hit the runway and burst into flames. The pilot in command, in executing a go-around, apparently placed the plane in an excessive nose high attitude, stalling the plane. Inexperienced crew, poor flight safety standards at the Tatarstan air company and lack of proper control over crew training.",100
"318","November","19","2013","Florida","Fort Lauderdale - Cozumel, Mexico","AirVac International",2,2,"The jet had just taken off from Fort Lauderdale/Hollywood International Airport when the crew radioed a request to return to the airport. That was followed by a Mayday after which the aircraft crashed into the ocean approximately 3 miles from the coast.",100
"319","November","25","2013","Papua New Guinea","Kimusi - Purari","Tropicair",10,3,"The passenger plane crash-landed in a river in Gulf provence. Seven passengers and the pilot escaped with minor injuries.",30
"320","November","29","2013","Nambia","Maputo, Mozambique - Luanda, Angola","Mozambique Airline",33,33,"The airliner crashed into Bwabwata National Park while en route to Luanda. The plane was found completely burned out with no survivors. The plane went missing in bad weather and poor visibility.",100
"321","November","29","2013","Glasgow Scotland","?","Bond Air Services Ltd.",3,3,"The police helicopter crashed into the roof of the Clutha Pub in central Glasgow killing at least 5 patrons along with 3 aboard he helicopter. The helicopter was carrying a civilian pilot and two Strathclyde police officers.",100
"322","November","29","2013","Alaska","Bethel - Saint Marys","Hageland Aviation Services",10,4,"The commuter plane crashed about 4 miles East of St. Marys in freezing rain.",40
"323","December","05","2013","Brazil","Pukanu - Novo Progresso","Heringer Taxi Aero",5,5,"While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots.",100
"324","December","11","2013","Hawaii","Kalaupapa - Honolulu","Makani Kai Air",9,1,"The aircraft crashed into the ocean shortly after taking off from Kalaupapa Airport. Preliminary indications are that there was catastrophic engine failure.",11.11
"325","December","26","2013","Russia","Novosibirsk - Ikustsk","IrAvia",9,9,"The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed.",100
"326","January","18","2014","Guyana","Olive Creek - Imbaimada","Trans Guyana Airways",2,2,"The aircraft crashed in a wooded area while en route. Both crew members aboard were killed.",100
"327","January","20","2014","Petreasa Romania","Bucharest - Oradea","Scoala Superioara de Aviatie Civla",7,2,"The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.",28.57
"328","February","11","2014","Algeria","Tamanarasset - Constatine","Military - Algerian Air Force",78,77,"The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area.",98.72
"329","February","16","2014","Nepal","Kathmandu - Pokhara - Jumla","Nepal Airlines",18,18,"The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident.",100
"330","February","21","2014","Tunisia","Tripoli - Tunis","Libyan Air Cargo",11,11,"The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.",100
"331","February","26","2014","Hawaii","Lanai - Kahului","Maui Air",6,3,"The charter flight crashed in flat grasslands near the Maui Electric Co. power plant shortly after taking off from Lanai Airport. The pilot and two passengers were killed. The plane was destroyed by fire.",50
"332","March","08","2014","South Indian Ocean","Kuala Lumpur - Beijing","Malaysia Airlines",239,239,"Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished.",100
"333","March","18","2014","Washington","News reporting","Helicopters Inc / KOMO TV",2,2,"The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.",100
"334","March","22","2014","Australia","Parachuting","Skydive Caboolture",5,5,"The skydiving plane crashed and burned shortly after taking off from Caboolture airfieldl. The pilot and four skydivers were all kille",100
"335","April","08","2014","Alaska","Training","Hageland Aviaiton Services",2,2,"The training flight impacted terrain in the Three Steps Mountain region approximately 30 miles southeast of Bethel. The burning wreckage was spotted two hour later. Two pilots were killed. No passengers were aboard.",100
"336","April","19","2014","Mexico","Cozumel - Ramos Arizpe","Lineas Aereas Comerciales",8,8,"While on approach, in fog, the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport.",100
"337","April","20","2014","Finland","Skydiving","Suomen Urheiluilmailijat",8,8,"While carrying skydivers, the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries.",100
"338","May","08","2014","Colombia","Villavicencio - Florencia","Alisansa Colombia",6,6,"The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Caguán while en route.",100
"339","May","17","2014","Laos","Vientiane - Xiangkhoung","Laos Air Force",17,16,"The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials.",94.12
"340","June","14","2014","Ukraine","?","Military - Ukraine Air Force",49,49,"The military transport crashed in a wheat field  near Lugansk Airport after being shot down by anti-aircraft fire.",100
"341","July","02","2014","Kenya","Nairobi - Mogadishu, Somalia","Skyward International Aviation",4,4,"The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport.",100
"342","July","07","2014","Vietnam","Training","Military - Vietnam People's Army Air Force",19,18,"The helicopter crashed about  40 km west of Hanoi, 15 minutes after taking off during a parachute training mission.",94.74
"343","July","17","2014","Ukraine","Amsterdam - Kuala Lumpur","Malaysia Airlines",298,298,"A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed.",100
"344","July","23","2014","Taiwan","Kaohsiung - Magong","TransAsia Airways",58,48,"The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures.",82.76
"345","July","24","2014","Mali","Ouagadougou, Burkina Faso - Algiers, Algeria","Air Algerie",116,116,"Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair.",100
"346","August","10","2014","Iran","Tehran - Tabas","Sepahan Airlines",48,39,"After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller.",81.25
"347","August","16","2014","Canada","St. John - Manan","Atlantic Charters",4,2,"The air ambulance carrying 4 people crashed in a wooded area shortly after 5 AM. The pilot and paramedic were killed. A nurse and second pilot survived. The accident happened after the plane dropped off a patiant at St. Johns Regional Hospital.",50
"348","August","27","2014","New Mexico","Las Cruces - Phoenix","Amigos Aviation / Elite Medical Transport",4,4,"The twin engine aircraft had just left the Las Cruces Airport at a low altitude when it crashed and burst into flames. All aboard including a flight paramedic, flight nurse , patient and pilot were killed. The plane was refueled with jet fuel instead of aviation gasoline.",100
"349","August","30","2014","Algeria","Glascow -Tamanraset - Equitorial Guinea","Ukraine Air Alliance",7,7,"The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off.",100
"350","August","31","2014","Tanzania","Mwanza - Nairobi","Safari Express Cargo",3,3,"The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza.",100
"351","September","06","2014","Colombia","Araracuara - Florencia","Laser",10,10,"The passenger plane crashed into the jungle while en route. The aircraft was located 6 miles from the town of Puerto Santander, fragmented and burned.",100
"352","September","20","2014","Papua New Guinea","Woitape - Port Moresby","Hevlift",9,4,"While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather.",44.44
"353","October","04","2014","Texas","Waurika, OK - Wichita Falls, TX","Air Evac Lifeteam",4,2,"The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.",50
"354","December","02","2014","Bahamas","Governors Harbour - Lynden Pindling Int","Ferg's Air Charter",11,1,"The pilot of the charter aircraft radoed he had lost power after which he ditched the aircraft in shallow water 550 feet off shore, near Clifton Pier.",9.09
"355","December","03","2014","Colombia","Guaymaral - Bahia Solano","Nacional de Aviación",10,10,"The pilot stated he was making an emergency landing but crashed 8 miles from the Jose Celestino Mutis airport. The impact completely destroyed the plane.",100
"356","December","24","2014","Colombia","Bucaramanga - Málaga","Alas de Columbia",7,7,"After radioing air traffic control to report a problem with the engine oil pressure, the pilot attempted an emergency landing, but the aircraft crashed close to Mesa de los antos killing all seven aboard.",100
"357","December","28","2014","Congo","Bujumbura, Burundi - Pointe Noire, Congo","Air Sirin",6,6,"The cargo plane impacted a mountainside while en route.",100
"358","December","28","2014","Java Sea","Surabaya - Singapore","AirAsia",162,162,"The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident.",100
"359","January","18","2015","Syria","?","Syrian Air Force",37,37,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft.",100
"360","February","04","2015","Taiwan","Taipei - Kinmen","Transasia",58,43,"After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The pilot  mistakenly throttled down a still-running engine following a glitch with the other engine. Pilot error.",74.14
"361","March","10","2015","Argenina","?","Private",10,10,"Three French sports figures participating in a reality show were killed along with seven other people when the two helicopters filming the show collided.",100
"362","March","24","2015","France","Barcelona, Spain - Dusseldorf, Germany","Germanwings",150,150,"The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed.The copilot locked the captain out of the cockpit and put the plane into a controlled descent until it impacted the ground.",100
"363","April","20","2015","Dominican Republic","Punta Cana - Arroyo Barril","Sky High Aviation Services",7,7,"The plane crashed shortly after taking off. The pilot tried to make an emergency landing onto a golf course but the plane struck a tree an burst into flames.",100
"364","June","25","2015","Alaska","Sightseeing","Promech Air",9,9,"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan.",100
"365","June","30","2015","Indonesia","Medan - Tanjung Pinang, Sumatra.","Military - Indonesian Air Force",122,122,"The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel.",100
"366","July","17","2015","Alaska","Juneau - Hoonah","Wings of Alaska",5,1,"The scheduled passenger plane crashed in a wooded forest northeast of Juneau, 15 minutes into a 20 minute flight to Hoonah. The pilot was killed and the passengers sustained serious injuries.",20
"367","July","31","2015","Colombia","Palanquero AB -Valledupar","Military - Colombia Air Force",11,11,"The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.",100
"368","August","12","2015","Indonesia","Wamena - Ninia","Komala Air",6,1,"Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed.",16.67
"369","August","16","2015","Papua","Jayapura- Oksibil","Trigana Air Service",54,54,"The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most provence. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area.",100
"370","September","05","2015","Senegal","Ouagadougou - Dakar","Senegalair",7,7,"The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient.",100
"371","September","15","2015","Alaska","Iliamna - Remote lake","Rainbow King Lodge",7,3,"While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed.",42.86
"372","October","02","2015","Afghanistan","?","Military - U.S. Army",11,11,"The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed.",100
"373","October","02","2015","Indonesia","Masamba - Makassar","Avistar Mandari",10,10,"The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong.",100
"374","October","31","2015","Indonesia","Timik - Ilaga","Trigana Air Service",4,4,"The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact.",100
"375","October","31","2015","Egypt","Sharem el Sheikh - St. Petersburg","Metrojet",224,224,"Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device.",100
"376","November","04","2015","South Sudan","Juba - Paloich","Allied Services Limited",43,41,"The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13.",95.35
"377","November","21","2015","New Zealand","Sightseeing","Alpine Adventures",7,7,"The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet.",100
"378","November","24","2015","Russia","Igarka - Krasnyi Selkub","Turuhan Avia",26,15,"Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed.",57.69
"379","December","22","2015","India","Delhi - Ranchi","Border Security Force",10,10,"Shortly after taking off, the pilot indicated they wanted to return to the airport. Soon after, the aircraft impacted terrain near Delhi Indira Gandhi Airport.",100
"380","December","24","2015","Congo","Lubumbashi - Mbuji-Mayi","Services Air",4,0,"While landing at Mbuji-Mayi Airport, the cargo plane overran the runway and crashed into several houses.",0
"381","January","08","2016","Sweden","Oslo - Tromsø","West Air Sweden",2,2,"While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground. PC While flying at night, one Inertial Reference Unit failed and suddenly the instruments for the pilot flying showed the plane pitching steeply up, which he tried to correct.  Due to the plane's unusual attitude, the instruments went into a ""declutter"" mode, which among other things removed the indication that the two pilots' instruments were conflicting.",100
"382","February","02","2016","Somalia","Mogadishu - Djibouti","Daallo Airlines",72,1,"Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.",1.39
"383","February","24","2016","Nepal","?","Tara Air",23,23,"The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident.",100
"384","February","26","2016","Nepal","Nepalganj - Jumla","Kasthamandap Airlines",11,2,"The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.",18.18
"385","March","09","2016","Bangladesh","Cox's Bazar - Jessore","True Aviation Ltd.",4,3,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore.",75
"386","March","15","2016","Ecuador","Training","Military - Ecuador Army",22,22,"The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed.",100
"387","March","19","2016","Russia","Dubai - Rostov","Flydubai",62,62,"At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated.",100
"388","March","29","2016","Canada","Montreal - Iles-de-la-Magdelen","Marquise Aviation Corp.",7,7,"The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierre's father. The pilot was flying the plane too fast and too high while on approach to land.",100
"389","April","04","2016","Tennessee","Sightseeing","Smoky Mountain Helicopters",5,5,"The helicopter crashed in a wooded hillside while on a sightseeing flight..",100
"390","April","13","2016","Papua New Guinea","Oksapmin - Kiungaraining","Sunbird Aviation",12,12,"While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure.",100
"391","April","29","2016","Norway","Gullfflex B - Bergen","CHC Helikopter Service",13,13,"The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.",100
"392","May","19","2016","175 miles off the Egyptian coast","Paris - Cairo","EgyptAir",66,66,"The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast.",100
"393","July","22","2016","Indian Ocean","Chennai (Tambram AFB) - Port Blair","Indian Air Force",29,29,"The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area.",100
"394","July","30","2016","Texas","Sightseeing Fentress Airpark","Heart of Texas Hot Air Balloon Rides",16,16,"The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.",100
"395","August","05","2016","United Arab Emirates","Thiruvanthapuram, India - Dubai, UAE","Emirates",300,0,"After being cleared to land, the crew informed Dubai tower they were going around. Immediately after being cleared to go-around, the aircraft impacted the runway, losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire.",0
"396","August","31","2016","Alaksa","Russian Mission- Marshall","Hageland Aviiation",5,5,"A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.",100
"397","October","24","2016","Malta International Airport","Malta-Luqa - Malta-Luga","AE Aviation",5,5,"Shortly after taking off, the plane banked to the right, lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug, leaving Libya.",100
